"keys","en","zh"
"ADD_PREVIEW_IMAGE","Add Preview To Pending","添加预览图像到待处理区"
"ADD_TO_ANIM_AREA","Add To Animation Area","添加为动画"
"ADD_TO_PENDING_AREA","Add To Pending Area","添加到待处理区"
"ALTER_COLOR","Alter Color","替换颜色"
"ANIM","Animation","动画"
"CLEAR_SELECTED","Clear Selected","清除选择"
"CLEAR_TRANSPARENCY","Clear Transparency","清空透明区域"
"COL_ROW_SEGMENTATION","Column Row Segmentation","行列切分"
"CREATE_EMPTY_IMAGE","Create Empty Image","创建空图像"
"CUT","Cut","剪切"
"CUT_OFF_THE_EXCESS","Cut Off The Excess","剪切掉多出的部分"
"DRAG_IN_PENDING_IMAGE","Drag In The Pending Image","拖入待处理图像"
"EXPORT","Export","导出"
"EXPORT_ANIMATION","Export Animation","导入动画"
"EXPORT_AS_ANIM_LIB","Export As AnimationLibrary","导出为 AnimationLibrary"
"EXPORT_AS_SPRITE_FRAMES","Export As SpriteFrames","导出为 SpriteFrames"
"EXPORT_PENDING_IMAGE","Export Pending Image","导出所有待处理图像"
"EXPORT_PREVIEW_IMAGE","Export Preview Image","导出预览图像"
"EXPORT_SELECTED_IMAGE","Export Selected Image","导出选中的图像"
"FILE","File","文件"
"FLOW_ARRANGE_MERGE","Flow Arrange Merge","流式排列合并"
"FRAME_SPEED","Frame Speed","帧速"
"IMAGE_HANDLE","Image Handle","图像处理"
"MARGE_ALIGN","Marge Align","合并排列"
"MARGIN","Margin","边距"
"MAX_COL","Max Column","最大列数"
"MAX_WIDTH","Max Width","最大宽度"
"MERGE SELECTED","Merge Selected","合并选中图像"
"MERGE_HANDLE","Merge Handle","合并图像"
"MERGE_MODE","Merge Mode","合并方式"
"MERGE_SELECTED","Merge Selected","合并选中的图像"
"OPERATE_TARGET","Operate Target","操作目标"
"OUTLINE","Outline","描边"
"PENDING_IMAGE","Pending Image","待处理图像"
"PREVIEW","Preview","预览"
"PREVIEW_IMAGE","Preview Image","预览图像"
"REMOVE","Remove","移除"
"RESCALE","Rescale","缩放"
"RESIZE","Resize","重设大小"
"ROTATION","Rotation","旋转"
"SCALE_TO_SPECIFIED_SIZE","Scale To The Specified Size","缩放到指定大小"
"SCAN_DIR","Scan Directory","扫描目录"
"SEGMENT","Segmentation","切分"
"SELECT_ALL","Select All","全选"
"SELECTED_HANDLE","Selected Handle","选中操作"
"SELECTED_PENDING_IMAGE","Pending Image","选中的待处理图像"
"SEPARATE","Separate","分隔"
"SET_TO_LARGEST_BLOCK_SIZE","Set To The Largest Block Size","设置为最大的图块大小"
"SIZE","Size","大小"
"SIZE_SEGMENTATION","Size Segmentation","大小切分"
"STOP","Stop","停止"
"THRESHOLD","Threshold","阈值"
"VIEW_LATEST_VERSION","View the latest version","查看最新版本"
"RESCAN","Rescan","重新扫描"
"IMPORT_ANIMATION","Import  Animation","导入动画"
"MIX","Mix","颜色混合"